2020. 1. 5,5:00,0,0,0,0,0
2020. 1. 5,6:00,0,0,0,0,0
2020. 1. 5,8:00,0,0,0,0,0
2020. 1. 5,9:00,0,0,0,0,0
2020. 1. 5,10:00,0,0,0,0,0
2020. 1. 5,11:00,0,0,0,0,0
2020. 1. 5,14:00,98,0,0,0,98
2020. 1. 5,15:00,100,0,0,0,100
2020. 1. 5,16:00,100,0,0,0,100
2020. 1. 5,17:00,100,0,0,0,100
2020. 1. 5,18:00,100,0,0,0,100
2020. 1. 5,19:00,100,0,0,0,100
2020. 1. 5,21:00,92,0,0,3,92
2020. 1. 5,23:00,96,0,0,59,96
2020. 1. 6,0:00,89,0,0,61,84
2020. 1. 6,1:00,88,0,0,34,87
2020. 1. 6,2:00,100,0,0,89,100
2020. 1. 6,4:00,100,0,0,100,98
2020. 1. 6,5:00,97,0,0,97,2
2020. 1. 6,6:00,88,0,0,88,0
2020. 1. 6,8:00,100,0,0,100,0
2020. 1. 6,10:00,100,0,95,100,0
2020. 1. 6,12:00,98,0,70,98,0
2020. 1. 6,13:00,98,0,95,98,0
2020. 1. 6,15:00,100,0,78,100,0
2020. 1. 6,16:00,100,0,100,100,2
2020. 1. 6,17:00,100,0,100,100,99
2020. 1. 6,18:00,100,0,100,100,96
2020. 1. 6,19:00,100,0,100,100,98
2020. 1. 6,20:00,100,0,100,100,99
2020. 1. 6,21:00,100,0,100,100,100
2020. 1. 6,22:00,100,0,100,100,100
2020. 1. 7,0:00,100,0,100,100,98
2020. 1. 7,1:00,100,0,100,100,98
2020. 1. 7,2:00,100,0,100,100,98
2020. 1. 7,3:00,100,0,100,100,99
2020. 1. 7,4:00,100,0,100,100,99
2020. 1. 7,5:00,100,0,100,100,100
2020. 1. 7,6:00,100,0,100,100,100
2020. 1. 7,7:00,100,0,100,100,94
2020. 1. 7,8:00,100,0,100,100,92
2020. 1. 7,9:00,100,0,100,100,97
2020. 1. 7,10:00,100,0,100,100,94
2020. 1. 7,11:00,100,0,100,97,98
2020. 1. 7,13:00,100,0,100,100,98
2020. 1. 7,14:00,100,0,100,100,98
2020. 1. 7,15:00,100,0,100,100,99
2020. 1. 7,17:00,100,0,100,99,99
2020. 1. 7,18:00,100,0,100,99,98
2020. 1. 7,20:00,100,0,100,98,99
2020. 1. 7,21:00,100,0,100,100,98
